#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV
1,Bitcoin BTC,"$29,701.79",0.6%,2.6%,1.2%,"$9,576,729,673","$575,948,431,256","$624,571,114,035",0.92
2,Ethereum ETH,"$2,003.34",0.4%,6.5%,5.7%,"$11,641,398,452","$241,779,984,353","$241,779,984,353",1.00
3,Tether USDT,$1.00,-0.1%,-0.0%,-0.1%,"$22,681,788,848","$82,099,776,718","$82,099,776,718",1.00
4,BNB BNB,$328.17,0.4%,1.0%,1.1%,"$576,587,841","$51,844,527,762","$65,673,252,624",0.79
5,USD Coin USDC,$1.00,0.2%,0.2%,0.1%,"$6,192,054,943","$30,432,852,440","$30,432,852,440",1.00
6,XRP XRP,$0.467785,-0.0%,1.0%,-2.6%,"$982,269,164","$24,286,611,930","$46,851,143,998",0.52
7,Cardano ADA,$0.395583,0.2%,1.6%,-2.4%,"$261,803,126","$13,909,361,877","$17,860,491,152",0.78
8,Lido Staked Ether STETH,"$2,003.86",0.6%,6.7%,5.9%,"$7,916,301","$12,649,822,751","$12,649,882,857",1.00
9,Dogecoin DOGE,$0.080291777504,-0.1%,2.3%,-0.2%,"$456,214,164","$11,190,860,327",-,-
10,Polygon MATIC,$0.999660,0.0%,1.4%,0.1%,"$277,494,360","$9,265,216,100","$10,017,024,794",0.92
11,Solana SOL,$23.02,0.7%,5.7%,-1.5%,"$526,204,933","$9,151,644,139","$12,694,436,643",0.72
12,Polkadot DOT,$5.88,0.4%,2.9%,-1.2%,"$157,760,687","$7,233,701,549","$7,709,960,806",0.94
13,Litecoin LTC,$88.97,0.3%,0.4%,-0.8%,"$408,850,635","$6,491,460,178","$7,484,202,100",0.87
14,TRON TRX,$0.070898202640,-0.3%,1.7%,6.2%,"$347,792,168","$6,434,335,675","$6,434,335,836",1.00
15,Binance USD BUSD,$1.00,0.1%,0.1%,0.0%,"$969,917,279","$5,998,330,584","$5,998,330,584",1.00
16,Shiba Inu SHIB,$0.000010040348,0.1%,1.2%,-2.5%,"$161,548,337","$5,919,599,928",-,-
17,Avalanche AVAX,$17.41,0.1%,2.6%,-0.9%,"$201,797,295","$5,766,841,561","$12,570,670,530",0.46
18,Dai DAI,$0.999669,-0.0%,0.0%,-0.0%,"$124,060,197","$4,691,197,215","$4,685,419,943",1.00
19,Wrapped Bitcoin WBTC,"$29,739.59",0.4%,2.8%,1.3%,"$200,807,861","$4,594,314,781","$4,594,314,781",1.00
20,Uniswap UNI,$5.58,0.4%,6.1%,0.8%,"$115,000,671","$4,211,197,492","$5,586,871,477",0.75
21,Chainlink LINK,$7.25,0.2%,3.4%,2.8%,"$200,021,707","$3,756,584,174","$7,264,715,496",0.52
22,LEO Token LEO,$3.56,0.0%,-0.0%,1.1%,"$426,676","$3,309,494,318",-,-
23,Cosmos Hub ATOM,$11.25,0.2%,2.2%,-4.0%,"$134,001,592","$3,301,302,231",-,-
24,Toncoin TON,$2.11,-0.0%,0.6%,-2.2%,"$9,420,245","$3,111,790,985","$10,679,660,435",0.29
25,Monero XMR,$158.08,-0.1%,1.9%,3.1%,"$141,823,722","$2,877,578,516",-,-
26,OKB OKB,$46.78,0.4%,0.1%,-1.8%,"$13,251,067","$2,807,389,575","$14,036,947,877",0.20
27,Ethereum Classic ETC,$19.68,0.2%,1.9%,-0.5%,"$88,683,421","$2,776,344,933","$4,154,889,989",0.67
28,Internet Computer ICP,$5.93,-0.2%,-0.6%,-1.9%,"$64,862,486","$2,592,101,990","$2,790,476,500",0.93
29,Stellar XLM,$0.094690803429,0.1%,1.0%,-0.2%,"$47,730,280","$2,542,528,801","$4,747,223,690",0.54
30,Bitcoin Cash BCH,$120.37,0.1%,2.3%,1.9%,"$64,702,896","$2,337,281,671","$2,532,212,290",0.92
31,Filecoin FIL,$5.27,0.2%,-0.0%,-4.0%,"$136,710,665","$2,225,283,907","$10,362,604,993",0.21
32,TrueUSD TUSD,$0.999650,-0.1%,0.0%,-0.0%,"$245,017,221","$2,046,985,914",-,-
33,Aptos APT,$9.85,0.1%,1.9%,-3.2%,"$70,044,539","$1,877,473,433","$10,197,914,099",0.18
34,Hedera HBAR,$0.058582843254,0.1%,1.0%,-3.8%,"$20,176,929","$1,839,257,948","$2,938,102,018",0.63
35,Cronos CRO,$0.069853097261,-0.2%,-1.0%,-10.9%,"$12,102,558","$1,767,287,134",-,-
36,Arbitrum ARB,$1.36,0.0%,3.0%,-1.8%,"$330,781,406","$1,741,256,500","$13,656,913,727",0.13
37,Lido DAO LDO,$1.94,0.2%,1.9%,-7.0%,"$63,323,151","$1,704,255,640","$1,941,164,796",0.88
38,NEAR Protocol NEAR,$1.87,0.1%,1.2%,-2.6%,"$61,358,517","$1,678,995,258","$1,872,108,790",0.90
39,Quant QNT,$114.67,0.5%,1.6%,0.5%,"$15,118,311","$1,671,793,690","$1,679,646,431",1.00
40,Pepe PEPE,$0.000003562455,-5.8%,54.9%,982.0%,"$1,703,213,652","$1,561,853,002","$1,561,853,002",1.00
41,VeChain VET,$0.021238462217,0.2%,2.0%,-5.3%,"$46,932,422","$1,542,970,310","$1,845,164,876",0.84
42,ApeCoin APE,$3.80,0.0%,0.1%,-5.9%,"$67,102,453","$1,401,194,342","$3,801,459,852",0.37
43,Algorand ALGO,$0.182906,0.3%,2.6%,-0.8%,"$49,052,303","$1,321,738,230","$1,829,048,846",0.72
44,Fantom FTM,$0.434572,0.1%,1.0%,2.9%,"$141,986,128","$1,215,280,107","$1,383,978,106",0.88
45,The Graph GRT,$0.134946,0.3%,1.2%,-1.9%,"$51,894,553","$1,211,225,803","$1,353,343,519",0.89
46,EOS EOS,$1.03,0.8%,2.1%,-1.5%,"$113,952,012","$1,132,766,508",-,-
47,The Sandbox SAND,$0.577901,0.2%,1.7%,-1.5%,"$76,341,674","$1,064,213,230","$1,736,185,257",0.61
48,Aave AAVE,$73.61,0.2%,3.7%,2.0%,"$55,454,987","$1,059,252,955","$1,178,051,602",0.90
49,Pax Dollar USDP,$0.999571,-0.0%,0.1%,0.1%,"$9,280,077","$1,044,509,679","$1,044,509,679",1.00
50,MultiversX EGLD,$40.03,0.2%,2.2%,-7.3%,"$34,724,366","$1,018,136,551","$1,260,575,192",0.81
51,Stacks STX,$0.733199,1.1%,-1.1%,2.2%,"$70,100,268","$1,013,997,312","$1,339,837,230",0.76
52,Frax FRAX,$0.999971,0.0%,0.1%,0.0%,"$6,488,716","$1,006,400,832","$1,006,400,832",1.00
53,Theta Network THETA,$1.00,0.1%,1.4%,-0.5%,"$13,980,616","$1,004,820,563","$1,004,820,563",1.00
54,Edgecoin EDGT,$1.00,-0.0%,0.2%,0.1%,"$21,176,178","$1,002,034,302","$1,002,034,302,110",0.00
55,Rocket Pool RPL,$51.68,1.4%,3.6%,11.8%,"$8,269,997","$999,286,596",-,-
56,Decentraland MANA,$0.540853,0.1%,1.3%,-2.1%,"$49,327,100","$987,840,658","$1,187,547,990",0.83
57,Tezos XTZ,$1.02,-0.1%,2.2%,0.7%,"$26,994,447","$952,173,426",-,-
58,Flow FLOW,$0.883691,0.1%,0.1%,-2.2%,"$19,402,554","$917,177,688","$1,267,384,005",0.72
59,Axie Infinity AXS,$7.74,0.2%,2.2%,-2.9%,"$31,644,631","$895,602,336","$2,090,695,057",0.43
60,ImmutableX IMX,$0.914835,-0.1%,1.1%,-11.3%,"$37,327,943","$878,785,414","$1,835,812,917",0.48
61,Synthetix Network SNX,$2.55,-0.7%,2.6%,4.2%,"$48,649,665","$811,663,081","$813,515,150",1.00
62,Radix XRD,$0.079237438623,0.2%,-4.7%,-25.3%,"$4,682,135","$806,936,487","$1,905,508,751",0.42
63,Render RNDR,$2.18,-0.6%,-2.3%,-8.3%,"$116,425,229","$799,578,031","$1,166,736,277",0.69
64,Curve DAO CRV,$0.959619,0.5%,3.2%,3.7%,"$53,700,541","$781,364,958","$3,178,229,330",0.25
65,KuCoin KCS,$7.73,0.5%,-0.8%,-5.4%,"$2,228,132","$749,700,418",-,-
66,BitDAO BIT,$0.508911,-0.4%,5.7%,1.9%,"$16,008,391","$743,795,736","$4,916,438,058",0.15
67,USDD USDD,$0.999694,-0.2%,-0.0%,1.0%,"$21,135,759","$738,013,595",-,-
68,NEO NEO,$10.44,-0.1%,2.6%,-3.4%,"$41,293,225","$737,635,479",-,-
69,Gate GT,$5.29,0.1%,1.5%,0.8%,"$926,305","$736,737,127",-,-
70,Klaytn KLAY,$0.229931,-0.1%,2.2%,2.3%,"$35,576,470","$712,387,209",-,-
71,Chiliz CHZ,$0.131992,0.5%,1.3%,2.9%,"$57,737,489","$706,350,446","$1,174,886,744",0.60
72,WhiteBIT Token WBT,$4.87,-0.2%,2.3%,1.7%,"$10,072,970","$702,691,128","$1,950,314,622",0.36
73,Sui SUI,$1.34,2.8%,2.1%,,"$538,357,588","$699,380,702","$13,238,983,470",0.05
74,Conflux CFX,$0.320539,-0.6%,-1.9%,-4.9%,"$97,381,849","$677,284,888",-,-
75,Maker MKR,$729.30,0.4%,5.9%,4.4%,"$25,825,646","$659,195,060","$735,452,501",0.90
76,Casper Network CSPR,$0.059639658247,-0.1%,-1.4%,8.8%,"$15,122,827","$656,577,474","$698,423,343",0.94
77,Bitcoin SV BSV,$33.47,0.3%,1.4%,-1.5%,"$7,880,869","$644,792,853","$702,823,422",0.92
78,Rocket Pool ETH RETH,"$2,145.63",0.4%,6.7%,6.1%,"$1,156,970","$634,617,094",-,-
79,Injective INJ,$7.86,0.5%,6.1%,-6.7%,"$94,756,601","$629,939,052","$787,369,139",0.80
80,GMX GMX,$72.07,0.4%,5.0%,-0.5%,"$21,855,886","$626,343,180","$955,246,162",0.66
81,Optimism OP,$1.98,-0.1%,-2.7%,-7.6%,"$154,860,771","$625,836,995","$8,537,397,002",0.07
82,Terra Luna Classic LUNC,$0.000103213177,0.0%,-1.1%,-8.5%,"$47,886,980","$609,663,929","$708,944,002",0.86
83,BitTorrent BTT,$0.000000621134,0.3%,-0.2%,-2.7%,"$16,161,960","$590,547,310","$614,492,846",0.96
84,Frax Share FXS,$7.95,0.8%,2.8%,0.8%,"$12,151,061","$570,575,950","$793,696,223",0.72
85,Tokenize Xchange TKX,$7.13,0.1%,8.8%,10.1%,"$13,045,992","$569,395,951","$711,780,528",0.80
86,Mina Protocol MINA,$0.633587,-0.5%,1.1%,-7.1%,"$24,654,668","$568,615,983","$653,539,633",0.87
87,Bitget Token BGB,$0.401235,0.1%,-1.1%,-2.3%,"$16,823,075","$559,317,280","$799,024,116",0.70
88,IOTA MIOTA,$0.199357,-0.1%,1.7%,-0.6%,"$7,357,379","$555,717,221",-,-
89,eCash XEC,$0.000028352414,-0.1%,-1.1%,-4.1%,"$5,320,117","$551,304,567","$597,409,513",0.92
90,Dash DASH,$48.83,0.2%,-0.3%,-2.5%,"$41,588,287","$550,774,774",-,-
91,Gemini Dollar GUSD,$0.999940,0.0%,0.1%,0.2%,"$707,556","$534,318,964","$534,318,964",1.00
92,PAX Gold PAXG,"$2,021.87",-0.0%,-1.3%,2.1%,"$18,039,264","$528,323,448",-,-
93,cETH CETH,$40.26,,6.6%,5.6%,"$1,554.89","$523,796,650","$523,796,650",1.00
94,Huobi HT,$3.22,0.2%,-0.3%,-8.7%,"$8,181,721","$523,763,765","$658,124,028",0.80
95,WOO Network WOO,$0.310512,1.2%,7.4%,6.5%,"$59,700,818","$520,768,897","$697,994,848",0.75
96,XDC Network XDC,$0.037235099373,0.4%,-0.4%,-7.2%,"$4,427,898","$515,531,548",-,-
97,Tether Gold XAUT,"$2,015.21",-0.1%,-1.5%,1.2%,"$7,153,945","$496,774,422","$496,774,422",1.00
98,Trust Wallet TWT,$1.17,0.0%,0.4%,0.6%,"$9,888,427","$490,014,979",-,-
99,PancakeSwap CAKE,$2.44,0.2%,-3.0%,-11.4%,"$74,164,671","$489,318,106","$1,828,742,521",0.27
100,Kaspa KAS,$0.027528232196,2.0%,0.7%,-12.7%,"$9,493,636","$483,691,462",-,-
101,FLOKI FLOKI,$0.000047051710,-1.8%,45.5%,30.7%,"$372,618,854","$468,009,059",-,-
102,Zilliqa ZIL,$0.027374603978,0.1%,0.9%,-5.4%,"$30,704,922","$450,446,933","$575,502,424",0.78
103,Osmosis OSMO,$0.737935,0.2%,1.4%,-6.9%,"$9,866,880","$425,018,209","$738,745,930",0.58
104,Flare FLR,$0.028798108993,-0.1%,-0.8%,-8.0%,"$5,773,485","$423,036,476","$2,907,240,989",0.15
105,Loopring LRC,$0.337334,0.5%,2.4%,-3.1%,"$30,313,595","$421,550,184","$465,032,546",0.91
106,Convex Finance CVX,$5.45,0.1%,5.2%,3.3%,"$3,176,930","$420,202,315","$545,861,719",0.77
107,dYdX DYDX,$2.56,0.1%,2.7%,-5.6%,"$76,274,164","$408,122,226","$2,575,639,862",0.16
108,THORChain RUNE,$1.35,0.6%,2.4%,-0.1%,"$50,036,743","$406,640,948","$676,155,951",0.60
109,Kava KAVA,$0.796694,0.3%,1.4%,1.3%,"$21,722,144","$404,567,081",-,-
110,NEXO NEXO,$0.714058,0.7%,2.1%,1.0%,"$3,437,338","$399,412,974","$713,237,440",0.56
111,Arweave AR,$7.95,-0.1%,1.9%,2.1%,"$10,002,684","$399,336,600","$525,982,908",0.76
112,Enjin Coin ENJ,$0.387923,0.5%,1.5%,-1.9%,"$19,045,313","$386,047,395","$386,047,395",1.00
113,Baby Doge Coin BABYDOGE,$0.000000002437,1.1%,2.5%,-13.2%,"$16,248,227","$380,424,606","$1,023,401,005",0.37
114,1inch 1INCH,$0.465057,0.0%,2.4%,-3.7%,"$14,513,159","$379,887,139","$697,583,729",0.54
115,Nexus Mutual NXM,$55.43,,6.4%,5.4%,"$13,520.53","$373,068,510","$373,068,510",1.00
116,cUSDC CUSDC,$0.022875371675,,0.2%,0.2%,$3.16,"$372,530,415",-,-
117,SingularityNET AGIX,$0.306084,0.2%,-1.3%,-10.5%,"$38,641,038","$371,940,153","$612,513,668",0.61
118,JasmyCoin JASMY,$0.007738369401,0.5%,8.1%,15.0%,"$162,268,124","$368,821,202","$387,661,554",0.95
119,Mask Network MASK,$4.55,0.3%,1.8%,-2.9%,"$34,048,774","$364,975,842","$455,508,071",0.80
120,Basic Attention BAT,$0.243905,-0.1%,1.7%,-3.8%,"$20,288,780","$364,474,099","$367,255,686",0.99
121,Frax Ether FRXETH,"$2,007.42",0.6%,6.8%,6.1%,"$457,024","$361,152,747","$361,152,747",1.00
122,BTSE Token BTSE,$2.11,-0.3%,-0.3%,-0.8%,"$1,071,445","$341,139,939","$421,000,592",0.81
123,Zcash ZEC,$37.25,0.3%,2.0%,-1.4%,"$27,170,581","$337,709,012","$784,063,594",0.43
124,Holo HOT,$0.001855704032,0.3%,1.8%,-3.1%,"$12,242,783","$330,414,923",-,-
125,OKT Chain OKT,$18.43,0.4%,-0.1%,-3.6%,"$1,146,643","$329,054,593","$387,177,711",0.85
126,cDAI CDAI,$0.022222888999,-0.0%,-0.1%,-0.1%,"$10,138.88","$327,647,522","$327,647,522",1.00
127,Fetch.ai FET,$0.314837,0.5%,1.2%,-6.4%,"$42,803,871","$326,215,057","$360,458,627",0.90
128,DeFiChain DFI,$0.467735,0.3%,2.5%,-1.5%,"$4,310,072","$326,037,474",-,-
129,NEM XEM,$0.036210336222,-0.1%,0.6%,-1.6%,"$7,946,967","$325,484,852",-,-
130,Terra LUNA,$1.20,0.3%,-1.8%,-7.5%,"$31,307,659","$320,756,631","$1,301,020,611",0.25
131,Ethereum Name Service ENS,$12.04,0.2%,0.8%,-1.8%,"$21,197,742","$311,590,540","$1,208,500,640",0.26
132,Gnosis GNO,$119.74,0.2%,6.9%,10.3%,"$3,171,201","$310,209,563","$359,373,124",0.86
133,SXP SXP,$0.540320,0.4%,1.9%,-3.4%,"$37,653,501","$305,188,034","$305,188,276",1.00
134,Oasis Network ROSE,$0.060347952461,0.4%,1.3%,-2.7%,"$25,746,263","$304,130,203","$604,709,891",0.50
135,Theta Fuel TFUEL,$0.049356995383,-0.2%,0.1%,-1.5%,"$5,110,361","$302,904,983",-,-
136,Audius AUDIO,$0.288827,0.2%,2.4%,-5.4%,"$8,341,996","$302,592,998","$336,103,698",0.90
137,Qtum QTUM,$2.87,0.3%,2.0%,0.1%,"$15,901,086","$301,558,572",-,-
138,EthereumPoW ETHW,$2.75,0.2%,-2.4%,-6.8%,"$14,356,824","$297,251,196","$297,250,573",1.00
139,Celo CELO,$0.587779,0.2%,0.9%,-3.5%,"$7,846,947","$293,603,236","$589,127,324",0.50
140,Olympus OHM,$10.54,-0.2%,0.6%,1.2%,"$615,462","$292,757,928","$284,015,333",1.03
141,Astar ASTR,$0.062651706140,0.1%,1.6%,-2.2%,"$5,792,947","$283,276,648","$497,991,132",0.57
142,Aleph Zero  AZERO,$1.24,0.5%,3.2%,-6.6%,"$2,544,145","$282,848,000",-,-
143,Liquity USD LUSD,$1.01,-0.0%,0.1%,0.4%,"$2,729,511","$280,755,387",-,-
144,LINK LN,$41.70,0.5%,0.1%,6.0%,"$559,115","$280,474,925",-,-
145,Compound COMP,$40.82,0.3%,2.2%,0.2%,"$15,773,623","$280,100,693","$408,543,158",0.69
146,Chia XCH,$38.61,0.7%,1.4%,-6.7%,"$3,220,169","$278,627,405",-,-
147,Ravencoin RVN,$0.023345572307,0.3%,1.3%,-3.0%,"$6,968,677","$278,287,553",-,-
148,MX MX,$2.78,0.1%,9.3%,19.1%,"$756,404","$278,148,181",-,-
149,SafeMoon [OLD] SAFEMOON,$0.000000006778,0.4%,1.0%,1.1%,$0.060141106845,"$277,800,683",-,-
